# With IMU KalmanFilter

pi@raspberrypi:~/kts/scripts $ python3 main.py 

Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg
..reading.py:252 Condition._is_owned  2      0.000196  0.000281  0.000140
..hreading.py:240 Condition.__exit__  2      0.000209  0.000269  0.000135
..umpy/core/numeric.py:1917 isscalar  2      0.000205  0.000269  0.000135
..ix.py:602 Serial._update_rts_state  1      0.000127  0.000264  0.000264
...py:249 Condition._acquire_restore  2      0.000158  0.000240  0.000120
..ython3.5/threading.py:725 _newname  3      0.000234  0.000234  0.000078
..ing.py:246 Condition._release_save  2      0.000181  0.000233  0.000117
..x.py:569 Serial.reset_input_buffer  1      0.000139  0.000210  0.000210
..py:185 IncrementalEncoder.__init__  3      0.000177  0.000177  0.000059
..rial/serialutil.py:254 Serial.port  1      0.000140  0.000176  0.000176
..nFilter.py:5 KalmanFilter.__init__  2      0.000172  0.000172  0.000086
..y:27 Submarine.SendLeftSpeedPacket  1      0.000139  0.000171  0.000171
..reading.py:1118 _MainThread.daemon  3      0.000133  0.000133  0.000044
..:36 Submarine.SendRightSpeedPacket  1      0.000098  0.000122  0.000122
../serialutil.py:275 Serial.baudrate  1      0.000111  0.000111  0.000111
..n3.5/threading.py:504 Event.is_set  2      0.000070  0.000070  0.000035
../serialutil.py:298 Serial.bytesize  1      0.000066  0.000066  0.000066
../serialutil.py:326 Serial.stopbits  1      0.000059  0.000059  0.000059
..l/serialutil.py:340 Serial.timeout  1      0.000058  0.000058  0.000058
..al/serialutil.py:312 Serial.parity  1      0.000057  0.000057  0.000057
..al/serialutil.py:423 Serial.dsrdtr  1      0.000054  0.000054  0.000054
..l.py:379 Serial.inter_byte_timeout  1      0.000046  0.000046  0.000046
..alutil.py:359 Serial.write_timeout  1      0.000046  0.000046  0.000046
..l/serialutil.py:399 Serial.xonxoff  1      0.000044  0.000044  0.000044
..al/serialutil.py:411 Serial.rtscts  1      0.000042  0.000042  0.000042

name           id     tid              ttot      scnt
Thread         1      3041629296       5.295735  55
Thread         2      3031430256       5.295100  53
_MainThread    0      3070203056       0.760566  6

# Without IMU KalmanFilter

pi@raspberrypi:~/kts/scripts $ python3 main.py

Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg
..hon3.5/threading.py:851 Thread.run  2/1    0.000336  1.519292  0.759646
..cripts/SubIMU.py:88 SubIMU.ReadIMU  1      0.599733  1.518956  1.518956
..ial/serialposix.py:460 Serial.read  52/51  0.032379  0.086427  0.001662
../Submarine.py:7 Submarine.__init__  1      0.000748  0.029511  0.029511
..ripts/SubIMU.py:17 SubIMU.__init__  1      0.010035  0.023677  0.023677
..erialutil.py:137 Timeout.time_left  81     0.013215  0.020551  0.000254
..serialutil.py:123 Timeout.__init__  52     0.009394  0.011838  0.000228
../serialutil.py:133 Timeout.expired  29     0.002715  0.009539  0.000329
../serialutil.py:176 Serial.__init__  1      0.002270  0.009295  0.009295
..eBoard.py:10 MessageBoard.__init__  1      0.001131  0.008737  0.008737
..ial/serialposix.py:254 Serial.open  1      0.001788  0.006196  0.006196
..n3.5/threading.py:826 Thread.start  2      0.000825  0.005855  0.002927
..matrixlib/defmatrix.py:212 __new__  5      0.001692  0.005056  0.001011
..5/threading.py:755 Thread.__init__  3      0.001917  0.004582  0.001527
..hon3.5/threading.py:531 Event.wait  2      0.000801  0.004042  0.002021
...5/threading.py:261 Condition.wait  2      0.001200  0.002708  0.001354
..ix.py:301 Serial._reconfigure_port  1      0.001400  0.002065  0.002065
..oard.py:61 MessageBoard.CloseBoard  1      0.000463  0.001821  0.001821
...5/threading.py:496 Event.__init__  3      0.000576  0.001455  0.000485
..oard.py:48 MessageBoard.LogMessage  2      0.000568  0.000955  0.000478
..hreading.py:213 Condition.__init__  3      0.000791  0.000791  0.000264
..x.py:258 matrix.__array_finalize__  5      0.000508  0.000684  0.000137
..tlocale.py:23 getpreferredencoding  3      0.000336  0.000518  0.000173
..n3.5/_weakrefset.py:81 WeakSet.add  3      0.000378  0.000466  0.000155
..Submarine.py:58 Submarine.ShutDown  1      0.000166  0.000392  0.000392
..ix.py:609 Serial._update_dtr_state  1      0.000135  0.000388  0.000388
..5/threading.py:1224 current_thread  3      0.000282  0.000363  0.000121
..ix.py:602 Serial._update_rts_state  1      0.000216  0.000360  0.000360
...py:249 Condition._acquire_restore  2      0.000198  0.000280  0.000140
..reading.py:237 Condition.__enter__  2      0.000192  0.000270  0.000135
..reading.py:252 Condition._is_owned  2      0.000186  0.000269  0.000135
..hreading.py:240 Condition.__exit__  2      0.000208  0.000263  0.000131
..ython3.5/threading.py:725 _newname  3      0.000235  0.000235  0.000078
..ing.py:246 Condition._release_save  2      0.000180  0.000230  0.000115
..x.py:569 Serial.reset_input_buffer  1      0.000135  0.000203  0.000203
..nFilter.py:5 KalmanFilter.__init__  2      0.000175  0.000175  0.000087
..py:185 IncrementalEncoder.__init__  3      0.000173  0.000173  0.000058
..rial/serialutil.py:254 Serial.port  1      0.000138  0.000173  0.000173
..y:27 Submarine.SendLeftSpeedPacket  1      0.000135  0.000163  0.000163
..reading.py:1118 _MainThread.daemon  3      0.000146  0.000146  0.000049
..:36 Submarine.SendRightSpeedPacket  1      0.000096  0.000118  0.000118
../serialutil.py:275 Serial.baudrate  1      0.000114  0.000114  0.000114
..al/serialutil.py:411 Serial.rtscts  1      0.000112  0.000112  0.000112
..n3.5/threading.py:504 Event.is_set  2      0.000071  0.000071  0.000036
../serialutil.py:298 Serial.bytesize  1      0.000066  0.000066  0.000066
..l/serialutil.py:340 Serial.timeout  1      0.000060  0.000060  0.000060
..al/serialutil.py:312 Serial.parity  1      0.000060  0.000060  0.000060
../serialutil.py:326 Serial.stopbits  1      0.000055  0.000055  0.000055
..al/serialutil.py:423 Serial.dsrdtr  1      0.000049  0.000049  0.000049
..l.py:379 Serial.inter_byte_timeout  1      0.000049  0.000049  0.000049
..alutil.py:359 Serial.write_timeout  1      0.000048  0.000048  0.000048
..l/serialutil.py:399 Serial.xonxoff  1      0.000043  0.000043  0.000043
..oard.py:28 MessageBoard.ReadSerial  1      0.000000  0.000000  0.000000

name           id     tid              ttot      scnt
Thread         1      3041449072       4.792311  53
Thread         2      3031430256       4.791755  53
_MainThread    0      3070022832       0.555317  7
pi@raspberrypi:~/kts/scripts $
